Customer_ID,Customer_Name,Gender,Age,City,Segment,Store_Location,Product_ID,Product_Name,Category,Price,Quantity,Total,Payment_Method,Day,Date
C177,Neha,Male,34,Aurangabad,Premium,Store_C,P635,Beverages_Item_13,Beverages,182,4,728,Card,Monday,2025-09-29
C148,Isha,Female,30,Nashik,Regular,Store_A,P464,Beverages_Item_16,Beverages,92,4,368,Wallet,Monday,2025-09-15
C179,Isha,Female,30,Nashik,Budget,Store_D,P979,Electronics_Item_3,Electronics,325,4,1300,Wallet,Saturday,2025-09-27
C100,Neha,Male,36,Nashik,Premium,Store_B,P391,Beverages_Item_9,Beverages,588,2,1176,Card,Friday,2025-11-07
C167,Riya,Female,54,Pune,Premium,Store_A,P397,Grocery_Item_4,Grocery,670,5,3350,Wallet,Thursday,2025-10-02
C163,Karan,Female,47,Nashik,Premium,Store_C,P707,Electronics_Item_14,Electronics,500,5,2500,Card,Sunday,2025-10-19
C112,Arjun,Male,24,Aurangabad,Premium,Store_B,P733,Grocery_Item_18,Grocery,534,5,2670,Wallet,Thursday,2025-09-11
C134,Vikram,Female,39,Aurangabad,Budget,Store_C,P752,Beverages_Item_3,Beverages,1000,4,4000,Card,Saturday,2025-10-25
C127,Riya,Male,24,Nagpur,Regular,Store_B,P346,Electronics_Item_37,Electronics,562,1,562,Wallet,Thursday,2025-09-18
C179,Isha,Male,21,Pune,Budget,Store_A,P580,Snacks_Item_7,Snacks,170,3,510,Card,Friday,2025-09-26
C103,Vikram,Male,18,Pune,Regular,Store_D,P495,Electronics_Item_47,Electronics,165,5,825,Cash,Saturday,2025-09-27
C144,Vikram,Female,50,Nagpur,Budget,Store_A,P842,Personal Care_Item_30,Personal Care,739,4,2956,Card,Tuesday,2025-09-16
C178,Aarav,Female,31,Aurangabad,Budget,Store_C,P572,Personal Care_Item_11,Personal Care,283,1,283,UPI,Wednesday,2025-09-17
C119,Raj,Male,55,Pune,Budget,Store_D,P960,Beverages_Item_9,Beverages,99,1,99,Cash,Sunday,2025-10-19
C145,Karan,Male,32,Aurangabad,Regular,Store_B,P254,Personal Care_Item_50,Personal Care,87,1,87,Card,Sunday,2025-10-12
C103,Isha,Male,39,Pune,Regular,Store_C,P911,Beverages_Item_38,Beverages,636,1,636,Wallet,Sunday,2025-10-12
C112,Aarav,Female,27,Jalna,Premium,Store_D,P419,Snacks_Item_4,Snacks,799,4,3196,Wallet,Saturday,2025-10-04
C157,Karan,Male,20,Nashik,Regular,Store_D,P887,Grocery_Item_29,Grocery,852,1,852,Card,Friday,2025-10-17
C194,Isha,Female,36,Nashik,Premium,Store_A,P789,Stationery_Item_4,Stationery,444,2,888,Wallet,Tuesday,2025-09-16
C167,Aarav,Male,21,Nagpur,Premium,Store_D,P674,Snacks_Item_27,Snacks,92,3,276,Card,Saturday,2025-10-11
C179,Sneha,Female,46,Nagpur,Regular,Store_B,P932,Grocery_Item_43,Grocery,898,5,4490,UPI,Thursday,2025-10-09
C122,Riya,Female,49,Jalna,Regular,Store_D,P303,Electronics_Item_29,Electronics,549,3,1647,Card,Thursday,2025-10-16
C136,Mahima,Male,34,Aurangabad,Premium,Store_A,P983,Personal Care_Item_45,Personal Care,43,3,129,Card,Sunday,2025-09-21
C198,Isha,Female,57,Mumbai,Premium,Store_D,P408,Electronics_Item_45,Electronics,945,5,4725,UPI,Friday,2025-09-26
C198,Riya,Male,23,Jalna,Premium,Store_D,P656,Snacks_Item_21,Snacks,985,1,985,Wallet,Friday,2025-10-03
C195,Neha,Male,36,Jalna,Budget,Store_C,P782,Beverages_Item_6,Beverages,261,3,783,Cash,Sunday,2025-10-26
C152,Aarav,Female,38,Jalna,Premium,Store_B,P805,Grocery_Item_27,Grocery,271,2,542,Wallet,Tuesday,2025-10-21
C118,Karan,Female,57,Mumbai,Regular,Store_C,P452,Grocery_Item_45,Grocery,83,4,332,Wallet,Thursday,2025-09-18
C166,Aarav,Female,23,Pune,Premium,Store_A,P227,Snacks_Item_22,Snacks,448,4,1792,UPI,Saturday,2025-10-11
C118,Mahima,Male,58,Nashik,Regular,Store_D,P964,Electronics_Item_3,Electronics,866,3,2598,Card,Sunday,2025-09-21
C128,Vikram,Female,60,Pune,Budget,Store_B,P391,Grocery_Item_15,Grocery,981,2,1962,Wallet,Monday,2025-10-20
C132,Aarav,Male,53,Pune,Budget,Store_B,P576,Electronics_Item_46,Electronics,761,1,761,Cash,Wednesday,2025-10-22
C145,Sneha,Female,49,Mumbai,Budget,Store_D,P152,Stationery_Item_24,Stationery,115,3,345,UPI,Friday,2025-10-31
C104,Riya,Male,20,Mumbai,Premium,Store_D,P390,Stationery_Item_24,Stationery,58,2,116,Wallet,Thursday,2025-11-06
C103,Vikram,Female,41,Nashik,Budget,Store_A,P218,Snacks_Item_23,Snacks,461,2,922,Card,Sunday,2025-09-28
C196,Mahima,Male,23,Mumbai,Budget,Store_D,P934,Personal Care_Item_40,Personal Care,229,3,687,Card,Wednesday,2025-10-29
C116,Neha,Male,40,Nashik,Budget,Store_A,P622,Grocery_Item_2,Grocery,738,2,1476,Cash,Saturday,2025-10-04
C174,Karan,Female,50,Jalna,Premium,Store_A,P647,Snacks_Item_22,Snacks,425,5,2125,UPI,Saturday,2025-10-04
C189,Arjun,Male,48,Aurangabad,Regular,Store_D,P117,Personal Care_Item_18,Personal Care,222,4,888,Wallet,Thursday,2025-10-16
C196,Arjun,Male,31,Jalna,Regular,Store_D,P123,Snacks_Item_34,Snacks,973,3,2919,Cash,Sunday,2025-10-19
C180,Karan,Male,58,Mumbai,Regular,Store_C,P474,Electronics_Item_8,Electronics,999,3,2997,UPI,Tuesday,2025-09-30
C181,Neha,Male,42,Mumbai,Premium,Store_C,P623,Electronics_Item_10,Electronics,748,2,1496,Cash,Sunday,2025-10-26
C122,Karan,Female,19,Nashik,Regular,Store_B,P729,Beverages_Item_31,Beverages,665,5,3325,Wallet,Thursday,2025-10-23
C134,Aarav,Female,22,Pune,Premium,Store_C,P237,Beverages_Item_13,Beverages,653,2,1306,Wallet,Tuesday,2025-09-16
C162,Vikram,Male,36,Nagpur,Budget,Store_A,P183,Stationery_Item_26,Stationery,453,3,1359,Wallet,Saturday,2025-09-13
C105,Riya,Female,41,Jalna,Budget,Store_B,P776,Snacks_Item_44,Snacks,464,4,1856,Card,Monday,2025-11-03
C167,Neha,Male,19,Jalna,Regular,Store_A,P915,Beverages_Item_10,Beverages,169,5,845,Card,Sunday,2025-11-02
